ts,Date Time,Date,gyY,gyz,gyx,acx,acz,acy,Time,cid,type
1665812862982,"10/15/2022, 11:15:56",10/15/2022,-952,73,-2432,-15488,3384,-2196,11:15:56,CHL026,0
1665813648882,"10/15/2022, 11:15:56",10/15/2022,-483,-323,-1280,-13544,6188,5268,11:15:56,CHL038,1
1665813650942,"10/15/2022, 11:15:56",10/15/2022,-539,-125,-1280,-13956,5132,4616,11:15:56,CHL038,1
1665813652991,"10/15/2022, 11:15:56",10/15/2022,-256,-458,-1248,-13936,5420,5076,11:15:56,CHL038,1
1665813655026,"10/15/2022, 11:15:56",10/15/2022,-667,-425,-1264,-13396,6124,5688,11:15:56,CHL038,1
1665813657072,"10/15/2022, 11:15:56",10/15/2022,32767,13442,-1296,-9580,29780,11408,11:15:56,CHL038,1
1665813659385,"10/15/2022, 11:15:56",10/15/2022,26452,-32768,-1264,10012,23396,-11248,11:15:56,CHL038,1
1665813661274,"10/15/2022, 11:15:56",10/15/2022,-32768,32767,-1280,12660,11224,960,11:15:56,CHL038,1
1665813663522,"10/15/2022, 11:15:56",10/15/2022,-27363,32767,-1280,23504,13052,-8792,11:15:56,CHL038,1
1665813665552,"10/15/2022, 11:15:56",10/15/2022,20383,32767,-1264,19172,32767,1264,11:15:56,CHL038,1
1665813667751,"10/15/2022, 11:15:56",10/15/2022,32767,24932,-1264,16544,-8260,-8260,11:15:56,CHL038,1
1665813670161,"10/15/2022, 11:15:56",10/15/2022,32767,1033,-1248,8240,-13112,5372,11:15:56,CHL038,1
1665813672082,"10/15/2022, 11:15:56",10/15/2022,638,-32768,-1264,19208,31864,2584,11:15:56,CHL038,1
1665813674202,"10/15/2022, 11:15:56",10/15/2022,-10753,-32768,-1264,17224,31152,-13244,11:15:56,CHL038,1
1665813676432,"10/15/2022, 11:15:56",10/15/2022,-32768,32767,-1264,18284,512,2232,11:15:56,CHL038,1
1665813678341,"10/15/2022, 11:15:56",10/15/2022,31434,32767,-1232,10672,18836,-12592,11:15:56,CHL038,1
1665813680493,"10/15/2022, 11:15:56",10/15/2022,32767,10752,-1280,9208,32767,-17532,11:15:56,CHL038,1
1665813682744,"10/15/2022, 11:15:56",10/15/2022,13762,16187,-1232,14752,12780,-5492,11:15:56,CHL038,1
1665813684721,"10/15/2022, 11:15:56",10/15/2022,-22758,32767,-1248,27868,6968,-15204,11:15:56,CHL038,1
1665813686762,"10/15/2022, 11:15:56",10/15/2022,-23469,-26534,-1248,-3944,-5232,8732,11:15:56,CHL038,1
