acx,acy,acz,gyx,gyY,gyz,cluster
-14108,-2528,7072,-1008,-23,-1820,0
-14212,-2500,7240,-992,-5,-1786,0
-14136,-2344,7260,-1024,-23,-1874,0
-14096,-2432,7328,-944,-26,-1854,0
-14256,-2400,7392,-944,-39,-1857,0
-14104,-2324,7372,-944,-39,-1820,0
-14084,-2460,7168,-928,-31,-1820,0
-5912,10712,-10312,-576,-4793,-465,0
-3688,13432,-6588,-576,2458,-1468,1
-3324,13904,-8636,-608,-1005,-2082,1
-4980,10888,-10284,-560,-1658,1139,1
-2860,14332,-7720,-576,192,-3216,1
-6784,11432,-9860,-560,-1493,-89,0
-4264,10380,-8360,-576,1965,-1908,1
-2016,14372,-9656,-592,-869,-3936,1
-2648,13844,-11972,-528,-916,2030,1
544,16016,-6068,-544,4648,-1997,1
-780,12584,-11416,-544,-1386,-1059,1
-576,15304,-7020,-528,1310,-5383,1
-1596,13676,-8948,-496,-1330,-2005,1
-720,12356,-9740,-480,469,-36,1
-240,15720,-6380,-512,-880,-3669,1
-1004,11304,-10564,-496,855,-565,1
356,8500,-8100,-496,2443,-484,1
-1012,12432,-9716,-480,-1717,-2089,1
-2992,11312,-11248,-480,-878,-1118,1
2136,14880,-8936,-480,-1783,-4391,1
-1536,10888,-12156,-480,-1249,-1026,1
1568,12416,-11208,-448,315,-2079,1
-1136,13040,-8908,-416,-812,-2872,1
1504,972,-16736,-448,3331,-1421,1
-196,11616,-11612,-416,763,-493,1
-3896,14076,-5664,-384,3889,-2990,0
-3416,7912,-14264,-416,525,-1766,1
-2428,14296,-10068,-448,-5240,-5080,1
508,12016,-12748,-416,1037,-2509,1
-3808,3352,-15328,-416,3408,380,1
3520,14892,-7172,-384,895,-4538,1
-2220,2892,-15700,-400,2243,353,1
1660,11688,-12372,-400,-3234,-2573,1
-3028,9760,-13396,-384,-522,-1760,1
-3508,11760,-12340,-400,190,-1401,1
2936,13224,-12444,-384,3995,-4866,1
-3364,5088,-14524,-384,-1406,366,1
-3444,7652,-8288,-384,4348,-1989,1
3648,15096,-10456,-400,732,45,1
852,11816,-10564,-400,-271,-1893,1
3012,14300,-9000,-384,2177,-1215,1
-656,9876,-13788,-368,-108,-1917,1
2164,15504,-8548,-384,3027,-1985,1
-1052,13276,-10588,-384,-1964,-826,1
-5920,15428,-5596,-384,-2978,-1105,0
180,24380,2140,-384,13433,3087,1
5268,14580,-8172,-1568,774,-2117,1
5720,12876,-7484,-1584,25,-1751,1
5340,13912,-7016,-1552,-37,-1729,1
5544,13500,-8104,-1536,-116,-1824,1
5328,12300,-7060,-1520,-152,-2202,1
5256,13780,-7356,-1584,98,-2173,1
5436,13444,-7848,-1552,59,-1796,1
5428,13808,-7788,-1536,80,-1895,1
5536,13372,-7760,-1536,-147,-1768,1
5596,13172,-8020,-1504,164,-1887,1
4632,13704,-8420,-1488,113,-1525,1
6512,11164,-9248,-1488,2058,-2400,1
-15224,32767,-6264,-576,-6822,-11549,0
-9844,25300,-1636,-528,12509,202,0
-7044,13468,-2216,-544,1270,-1426,0
-7384,13936,-3928,-528,-33,-1825,0
-2552,15744,-320,-528,2288,1173,0
-5644,11972,-5880,-560,-645,-4461,0
-10468,12856,-3248,-528,1282,-2746,0
2748,18492,-1832,-512,2055,728,1
-6028,13896,-6328,-480,-716,-1672,0
-5760,15876,-2040,-464,6639,-374,0
-4936,12572,932,-528,1959,-2371,0
-6352,14268,-1700,-496,-4020,-2555,0
-9728,9364,-1916,-496,6817,678,0
-6832,16460,-248,-480,-647,-1301,0
-6396,15420,84,-464,-7354,3143,0
-5956,17136,1400,-448,1754,-7888,0
-8088,12644,3012,-416,145,445,0
-9100,22348,764,-432,-7236,-1343,0
-6864,11624,-676,-464,916,-672,0
-8396,14376,-696,-448,-544,-1894,0
-15296,8192,5540,-448,8317,-4509,0
-2340,16364,-2376,-432,-1734,273,1
-7184,14820,3680,-432,920,-4307,0
-6452,12448,3832,-464,1331,-1571,0
-4904,14260,-1176,-416,936,-2750,0
-7548,12644,2836,-448,1448,473,0
-5424,16852,3176,-416,1970,-3077,0
-7608,14984,2776,-416,2138,-5141,0
-2876,10388,3436,-432,5676,4266,0
-3636,9488,868,-432,2017,-889,0
-4740,13456,4592,-416,7575,-9886,0
-6472,15072,-1316,-448,732,-1288,0
-10060,15688,5600,-384,4771,378,0
-5796,15668,-4100,-448,-3214,-2574,0
-6056,20476,2240,-432,-702,-2083,0
-332,14976,-2212,-416,276,-1065,1
-1388,15144,-2788,-416,-105,2277,1
-2444,16256,1152,-448,1470,-3275,0
-6404,17268,8,-432,-3700,91,0
-7068,15624,-272,-384,982,-79,0
-9412,12664,-488,-432,-1053,-2489,0
-32768,6692,3176,-400,-6215,-4668,0
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
0,0,0,0,0,0,1
5112,-3604,-15544,-1408,46,-1623,1
-1048,612,-14196,-1392,-2035,-1812,1
-2164,-192,-15928,-1392,541,-2160,1
1644,184,-15840,-1408,-1037,-2598,1
3548,-5396,-15976,-1408,-1832,-1151,1
2888,-6052,-16496,-1408,-579,-370,1
212,-5752,-16112,-1392,1651,-431,1
144,-2044,-16516,-1392,1131,-2367,1
3324,-4932,-15680,-1344,-1361,-1644,1
-500,-4452,-15716,-1344,1573,-1524,1
944,-4168,-16616,-1376,-1162,-3463,1
3180,-7344,-14892,-1376,647,-130,1
684,-5672,-16104,-1376,1116,-1692,1
2968,-4112,-16072,-1376,-964,-2557,1
-464,-3588,-15464,-1344,2467,-1769,1
1100,-4316,-15872,-1344,-2150,-2789,1
3272,-5964,-15516,-1344,-984,-1273,1
384,-4544,-16108,-1344,768,-1971,1
3528,-5452,-15488,-1408,-799,-1707,1
1524,-5648,-15844,-1376,1153,-1523,1
2040,-4576,-15412,-1328,-27,-2847,1
3172,-4620,-16112,-1344,3933,-1357,1
3292,-5960,-16208,-1376,-3023,-1311,1
7976,-2256,-15428,-1376,-4699,565,1
10804,-6264,7588,-1056,-1935,-7998,1
14984,4568,-6340,-1040,14997,3969,1
14368,276,-9136,-1024,-4134,-15321,1
14564,452,-8372,-1024,186,-1349,1
16120,3196,-2212,-976,-63,-1822,1
11080,-11520,-8252,-992,839,-3676,1
13956,3748,-9676,-960,1096,-1905,1
340,-2012,-16096,-1008,-720,-1030,1
7836,636,-11488,-992,-4090,-2920,1
5004,-7280,-9344,-960,-4624,-776,1
8884,-2720,-13788,-960,632,-99,1
-1460,180,2208,-960,-6723,-8960,0
8268,-308,-15620,-944,-45,-2022,1
6732,3648,-14788,-944,-1129,44,1
12956,-7840,-10344,-944,6250,102,1
13072,3660,-13636,-928,5123,-2034,1
16288,2912,-16184,-944,-3506,-6834,1
648,-5200,-15548,-960,1939,-2312,1
11692,-12940,-8080,-928,12130,-6466,1
5680,-12224,-10360,-944,-814,1200,1
12092,-14964,-11144,-912,9611,-1182,1
964,-8800,-9836,-928,-1940,-1156,1
10872,-11132,-7848,-912,1917,-1995,1
5300,-9264,-11364,-928,5315,-3426,1
14568,2232,-6532,-944,4774,-814,1
11904,3220,-6936,-1936,-2067,-5222,1
-15828,-4404,2724,-1952,-1812,-8736,0
15176,28920,8328,-1952,32767,-12935,1
17040,-4040,-10440,-1968,-20964,12817,1
-7388,-6556,7064,-1984,-14704,-2923,0
-11192,-4744,3596,-1936,-14847,4122,0
-13096,3900,4604,-1936,1000,-3177,0
-17412,-8032,2336,-1984,746,-1139,0
-11332,9540,-7836,-1920,-3902,-3913,0
-14732,-7476,4264,-1904,-683,468,0
-13716,2896,-9648,-1920,851,-2638,0
-13980,5016,-5608,-1888,1839,-2625,0
-15036,3620,-5868,-1856,-24,-1580,0
-10600,4592,-12888,-1872,2090,-1149,0
-9216,6228,-11976,-1904,80,471,0
-11428,5628,-11688,-1888,-1310,-1098,0
-14808,1612,-4620,-1888,41,-3801,0
-15272,5132,-9184,-1888,4938,-8545,0
5160,1624,-3552,-1904,32767,19062,1
-11164,-9184,7496,-1888,-386,-2036,0
-11624,-8620,7616,-1952,-50,-1898,0
-11260,-7420,7252,-1920,52,-2344,0
